category,description,title,institute,site,credits,id
,"Family law includes marriage, divorce, support, custody, property division, and abuse prevention petitions.  Essentially an area of state law, it is often the backbone of general practice law firms.  The role of paralegals in a family law office will be studied. Normally offered yearly.",ALS-369 Family Law,Suffolk University,www.suffolk.edu,4.0,ALS-369
,"Federal and state administrative agencies such as FTC, NLRB, and EEOC are extensive sources of law. Familiarity with these agencies is useful in many areas where a paralegal might work.  Additionally, Worker's Compensation law is uniquely suited to assist the student in acquiring a practical understanding of the administrative law area, and its legal, administrative, economic, and social foundations will be studied. Normally offered alternate years.",ALS-370 Administrative Law and Worker's Compensation,Suffolk University,www.suffolk.edu,4.0,ALS-370
,"This course provides a basic overview of key issues in contemporary education law and policy. Relevant local, state, and federal laws will be  reviewed as well as education policy issues, including civil rights, student safety and discipline. This course will also cover the core educational entitlements granted to all students with disabilities in the public education system. It will focus on the substantive legal protections designed to ensure that students with disabilities receive a Free and Appropriate Public Education, and on the various procedural protections for students and parents. The course will cover major federal legislation such as the IDEA, ADA and Section 504, as well as major Supreme Court and other important cases. The course will cover fundamental legal issues  balancing the interests of the public, schools, students, and parents.  Additionally, since paralegals have become an important part of education law enforcement and practice, several assignments will focus on practical paralegal work.",ALS-373 Education Law,Suffolk University,www.suffolk.edu,,ALS-373
,"Many civil suits arise when the negligence of an individual creates injury to another. Elements of negligence law and specific types of cases such as automobile accidents and medical malpractice will be studied, with an emphasis on practical aspects of drafting and research for the prospective paralegal. Normally offered yearly.",ALS-374 Torts: Personal Injury Law,Suffolk University,www.suffolk.edu,,ALS-374
,"The role of computers and software in the law office as it affects the paralegal Lectures and hands-on applications will focus on the changing technology of computer hardware through fact scenarios that students will use to track changes from introduction to resolution in litigation. Focus on software applications involving word processing, spreadsheets, billing, diary and scheduling, research, and use of the Internet. Normally offered alternate years.",ALS-375 Technology and the Law,Suffolk University,www.suffolk.edu,4.0,ALS-375
,"The law dictates that corporations, arguably the most influential institutions of our time, can have only one goal: to maximize profits for their shareholders. Corporations have no general legal or moral obligation to the well-being of society or individual consumers. This means that, if corporations are to be restrained from maximizing profit by harming the public good, they must be regulated. When regulation fails, and dangerous products make it into the marketplace, consumers who are harmed can bring product liability lawsuits. Despite these facts, massive deregulation has occurred in the U.S. and tort reform threatens the ability of consumers to bring product liability lawsuits. Using the food and tobacco industries as case studies, we will examine the history of deregulation and tort reform and answer the following question: How can law and government be used to protect society and consumers by regulating a system programmed to ignore the welfare of everyone except shareholders?","ALS-377 Pol of Regulation, Product Liability Litigation & Tort Reform",Suffolk University,www.suffolk.edu,,ALS-377
,"Building on the skills introduced in ALS 362, Civil Litigation, this course will provide a thorough study of the rules of evidence, the process of discovery, and the preparation of a case for a trial, as well as the roles of arbitration, mediation, and negotiation in litigation and other legal disputes.  Theory will be combined with practical applications for prospective paralegals, such as deposition abstracting, gathering and preserving evidence, and techniques on how to prepare a case for ADR. Normally offered yearly.",ALS-378 Advanced Litigation & Trial Practice,Suffolk University,www.suffolk.edu,4.0,ALS-378
Expanded Classroom Requirement,"A one-semester internship in either a law office, a governmental agency, insurance company, or a for-profit or non-profit corporation, depending on the positions available during each semester. Once a week seminars will discuss such topics as ethical considerations in a law office, experiences gained as a paralegal interns, and seeking paralegal employment.  For specific placements/information, students must contact the Director of Paralegal Studies prior to the start of each semester.  Prerequisites: Senior status and at least 15 hours of Paralegal Studies or permission of instructor. 1 term - 4 credits. Normally offered spring and summer.  ECR",ALS-381 Paralegal Internship,Suffolk University,www.suffolk.edu,4.0,ALS-381
,"Study of the immigration and nationality laws of the United States focusing on the interplay of the administrative agencies which administer those laws: Justice Department, Labor Department, and State Department.  Topics include the immigrant selection system; the issuance of non-immigrant visas; grounds for excluding aliens and waiver of excludability; grounds for removal; change of status, and refugee and asylum status.  Special emphasis on the paralegal's role in representing and communicating sensitively with aliens. Normally offered yearly.",ALS-383 Immigration Law,Suffolk University,www.suffolk.edu,4.0,ALS-383
,"A survey of the law of the protection of ideas, trade secrets, inventions, artistic creations, and reputation.  The course will briefly review the bases for patent, trademark, copyright and trade secret protection, the distinction among the various forms of intellectual property, and the statutory and common law methods of enforcing rights. Normally offered yearly.",ALS-384 Intellectual Property,Suffolk University,www.suffolk.edu,4.0,ALS-384
,"Building on the skills in ALS 361 - Legal Research & Writing I, this course continues the focus on learning how to find legal materials and how to summarize research results.  Writing skills will be strengthened through various exercises  and revisions.  Skill development in legal analysis, writing legal memoranda, and using computer assisted legal research with Westlaw and Lexis will be emphasized. Normally offered spring semester.",ALS-385 Legal Research & Writing II,Suffolk University,www.suffolk.edu,4.0,ALS-385
,"The nature of the employment relationship and and overview of constitutional and federal statutory provisions that affect the employment relationship will be studied. Particular emphasis on the Civil Rights Act, the Age Discrimination in Employment Act, and the Americans with Disabilities Act. Statutory provisions regarding benefits and employment-related entitlements will also be studied. Normally offered yearly.",ALS-390 Employment & Labor Law,Suffolk University,www.suffolk.edu,4.0,ALS-390
"Cultural Diversity Opt A,Diverse Perspectives","An opportunity to learn the history of domestic violence including battering, child abuse and child neglect, and the legal response to it. Focus will be on Massachusetts Law and its response, especially the Abuse Prevention Act, its application and enforcement, and on laws protecting children from abuse and neglect. Filings, law office issues and special issues in dealing with battered women and abused and neglected children will be included with the psychological issues, cultural issues, and advocacy possibilities. Normally offered yearly. Sophomore status required. Cultural Diversity A","ALS-391 Domestic Violence, Abuse & Neglect",Suffolk University,www.suffolk.edu,4.0,ALS-391
Social Science,"With the globalization of the world economy, legal professional and business people require knowledge of international law more than ever. This course offers students a survey of selected materials in public international law. Covered will be the practical and theoretical issues of international law, from the Law of the Sea to business implications to definitions of war and international concepts of justice. Normally offered yearly.",ALS-396 International Law,Suffolk University,www.suffolk.edu,4.0,ALS-396
"Social Science,BSJ SOCIAL SCIENCE","An introduction to the American political system and constitutional framework. Focus will be on the interplay of various institutions (the Presidency, Congress and the Judiciary) in creating public policies. Contemporary public issues will be discussed, as will the role of political theory in shaping American democracy. Attention will be given to the role of the news media, public opinion, political ideology, political parties and interest groups in the American system.",GVT-110 Introduction to American Democracy,Suffolk University,www.suffolk.edu,,GVT-110
Social Science,"Students will learn how to read and analyze political science research. Focus will be on the use of the scientific method for research on politics and government. Students will learn how to effectively access information for research in political science and learn the steps in writing a research paper, including developing the research question, writing a literature review, selecting a research design, and how to properly cite sources. Students will develop an understanding of approaches to researching and measuring political phenomena. ",GVT-120 Research Methods,Suffolk University,www.suffolk.edu,,GVT-120
BA FOREIGN,"Masters Arabic alphabet, learn elementary formal grammar and develop reading, speaking, and writing skills. ",ARAB-101 Elementary Modern Standard Arabic,Suffolk University,www.suffolk.edu,,ARAB-101
BA FOREIGN,"Continues to master Arabic alphabet, learn elementary formal grammar and develop reading, speaking, and writing skills.",ARAB-102 Elementary Modern Arabic II,Suffolk University,www.suffolk.edu,4.0,ARAB-102
Arts Admin Minor Elective,"A non-credit course to satisfy the Theatre practicum requirement for theatre majors and minors. Students should register for this course when participating in Theatre Department performance activities such as acting, directing, playwriting, dramaturgy, choreography, or stage management may. May be taken more than once.",THETR-100 Theatre Practicum: Performance,Suffolk University,www.suffolk.edu,0.0,THETR-100
Arts Admin Minor Elective,"A non-credit course to satisfy the Theatre practicum requirement for theatre majors and minors. Students should register for this course when participating in Theatre Department production activities such as design or assistant design, load-in or run crews, board operators, carpenters, electricians, stitchers and painters. May be taken more than once.",THETR-102 Theatre Practicum: Production,Suffolk University,www.suffolk.edu,0.0,THETR-102
,"Non-credit course to satisfy the Theatre practicum requirement for theatre majors and minors. Students should register for section A for performance activities such as acting, directing, and writing, and section B for production related activities such as tech crew, design, and running shows. Stage management may fulfill either category. May be taken more than once.",THETR-120 Theatre Practicum,Suffolk University,www.suffolk.edu,,THETR-120
Arts Admin Minor Elective,This introduction to acting prepares students for work in production and develops skills in all forms of communication.  The first part of the course uses improvisational exercises  based on the Stanislavski method to teach fundamental acting techniques.  The second half of the course applies those techniques to scene work from major 20th century plays.  This course is a core requirement for all Theatre Majors.,THETR-129 Acting,Suffolk University,www.suffolk.edu,,THETR-129
Arts Admin Minor Elective,"Vocal Technique provides students with an essential foundation to help ensure the safe and effective use of the speaking and singing voice. Topics will include alignment, relaxation, breath support, placement, resonance, vocal anatomy, and the care and protection of the voice under normal and stressful situations. Students will do oral presentations and have the option of singing in a master class setting. This is a studio course with a written component.",THETR-139 Vocal Technique,Suffolk University,www.suffolk.edu,,THETR-139
,"This rigorous class will give students the fundamental concepts, vocabulary and skills used to design for the stage such as: color, line, composition, research and script analysis. The class has a written component and is intended to prepare students to design workshop productions in the Studio Theatre. Students will be expected to complete a minimum of ten hours of production work for Theatre Department productions.",THETR-151 Introduction to Design,Suffolk University,www.suffolk.edu,,THETR-151
,"This rigorous survey class will give students the fundamental concepts, vocabulary, and skill to implement basic scenery, lighting, costuming, props and sound.  The class is intended to prepare students as technical support for workshop productions in the Studio Theatre. There is a written component and students will be expected to complete a minimum of ten hours of  technical work on Theatre Department productions.",THETR-152 Introduction to Stagecraft,Suffolk University,www.suffolk.edu,,THETR-152
Arts Admin Minor Elective,"This course will teach both the methods and principles behind stage management demonstrating how to support a production while facilitating the work of directors, designers, and actors. In addition to teaching the specific technical skills necessary to each part of the production process, this course will also address the more subtle intellectual and managerial skills that make stage management an art. Satisfies a core requirement for Theatre majors.",THETR-187 Intro to Stage Management,Suffolk University,www.suffolk.edu,,THETR-187
,"This course helps orient Theatre Department Freshmen to university life while presenting them with practical information about the department. Topics will include production practicum, student showcases, auditioning, advising, capstone projects, internships and study abroad opportunities. Theatre professors, staff, and visiting professionals come to classes to discuss their areas of expertise. Students are made aware of arts activities on campus and in the city of Boston for which weekly journals are required. A script and performance of at least one play in Boston will be studied.",THETR-191 The Freshman Experience,Suffolk University,www.suffolk.edu,1.0,THETR-191
Arts Admin Minor Elective,This introduction to acting prepares students for work in production and develops skills in all forms of communication.  The first part of the course uses improvisational exercises  based on the Stanislavski method to teach fundamental acting techniques.  The second half of the course applies those techniques to scene work from major 20th century plays.  This course is a core requirement for all Theatre Majors.,THETR-129 Acting,Suffolk University,www.suffolk.edu,,THETR-129
Social Science,"Working with children and adolescents is a facet of many professions.  This course will introduce students to the study of education occurring in formal and informal settings. This course focuses on the relationships among, and between, teachers, discourse, and community.  Students will glean insight into the relationship of school and society as well as power and control in American Education.  Required of all education minors. Five hours of field work required.",EDUC-110 Introduction to Education,Suffolk University,www.suffolk.edu,,EDUC-110
Social Science,"Examines the nature and development of human abilities and the teaching-learning process. Considers the facts and generalizations of child and adolescent growth and development, working with diverse cultures, and special needs children in school settings. Ten hours of field work.",EDUC-202 Educational Psychology,Suffolk University,www.suffolk.edu,,EDUC-202
"Expanded Classroom Requirement,Social Science","Students complete a minimum of 35 hours of tutoring in an educational setting, or community organization, in conjunction with a weekly seminar on campus. Open to all majors. No previous experience required.",EDUC-203 Service Learning: Pre-K Outreach and Tutoring,Suffolk University,www.suffolk.edu,,EDUC-203
NATURAL SCIENCE FOR BA  BFA & BSJ,"Introduces the field of neuroscience, the study of the organization and function of the nervous system of humans and other animals. Neuroscientists examine how individual neurons function as signaling devices, how groups of neurons operate as circuits to produce fundamental units of behavior, and how much larger systems in the brain subserve complex functions such as memory and consciousness. Topics include the neuron and neural transmission, the overall function and organization of the nervous system, the development of the brain, neural plasticity, sleep, memory and other higher cognitive functions. Normally offered alternate years.",NEUR-101 Intro to Neuroscience,Suffolk University,www.suffolk.edu,,NEUR-101
Social Science,Surveys core theoretical concepts and contemporary empirical research from the major sub-fields of psychology: physiology; perception; cognition; learning; emotion; motivation; development; personality; psychopathology; psychotherapy; and social behavior. Required for psychology majors. Offered every semester.,PSYCH-114 General Psychology,Suffolk University,www.suffolk.edu,,PSYCH-114
,"This course introduces the elements and tools of digital design. The course covers Boolean algebra, Karnaugh maps, Logic gates and digital circuits, analysis and design of combinational and sequential circuits, and timing issues. Adders, decoders, multiplexers, flip-flops, counters, and registers are implemented using TTL or CMOS ICs as well as VHDL-programmed FPGAs.  Formerly ECE 203",ECE-101 Digital Electronics,Suffolk University,www.suffolk.edu,3.0,ECE-101
"Humanities & History,Humanities Literature Requirement","An introduction to non-formal methods of analyzing and formulating arguments, including treatment of such concepts/topics as: the nature of argument, induction, deduction, validity, soundness, aspects of language which tend to interfere with logical thought, definition, role of emotion, types of disagreement, and fallacies. The course also emphasizes the practical application of sound reasoning in both evaluating arguments and making arguments of one's own about matters of issues facing society. 1 term - 4 credits. Normally offered every year. ",PHIL-113 Critical Thinking and Argumentation,Suffolk University,www.suffolk.edu,,PHIL-113
"Humanities & History,Humanities Literature Requirement","A general introduction to the nature of philosophical analysis. Lectures, readings, and discussions will focus on representative issues and thinkers from the main areas of philosophy (such the nature of truth, reality, morality, politics, and religion). 1 term - 4 credits. Normally offered every year. ",PHIL-115 Introduction to Philosophy,Suffolk University,www.suffolk.edu,,PHIL-115
,"Functions, limits and continuity; instantaneous rate of change, tangent slopes, and the definition of the derivative of a function; power, product, and quotient rules, trig derivatives, chain rule, implicit differentiation; higher order derivatives; applications(curve sketching, limits at infinity, optimization, differentials); other transcendental functions (inverse trig functions, exponential and log functions, hyperbolic trig functions); anti-derivatives; indefinite integrals; applications (net change). 4 lecture hours plus 1 recitation session each week. Normally offered each semester.",MATH-165 Calculus I,Suffolk University,www.suffolk.edu,4.0,MATH-165
,"Riemann sums and definite integrals; Fundamental Theorem; applications (areas); integration of exponential functions, trig functions, and inverse trig functions; techniques of integration (by parts, trig substitution, partial fractions); area, volume, and average value applications; differential equations (separable, exponential growth, linear); infinite sequences and series; convergence tests; power series; Taylor and Maclaurin series (computation, convergence, error estimates, differentiation and integration of Taylor series). 4 lecture hours plus 1 recitation session each week. Normally offered each semester.  ",MATH-166 Calculus II,Suffolk University,www.suffolk.edu,4.0,MATH-166
,"Parametric equations and polar coordinates (curves, areas, conic sections); vectors and the geometry of space (the dot product, vector arithmetic, lines and planes in 3-space, the cross product, cylinders and quadratic surfaces); vector functions (limits, derivatives and integrals, motion in space); partial derivatives (functions of several variables, limits and continuity, tangent planes and differentials, chain rule, directional derivatives, gradient, extrema, Lagrange multipliers); multiple integrals (double integrals, applications); vector calculus (vector fields, line integrals, fundamental theorem for line integrals, Green's Theorem, curl and divergence, parametric surfaces, surface integrals). 4 lecture hours plus 1 recitation session each week. Normally offered each semester.  ",MATH-265 Calculus III,Suffolk University,www.suffolk.edu,4.0,MATH-265
,"this course is intended to provide a firm foundation for and a taste of the study of advanced mathematics.  While the course content varies somewhat, it is designed to give students a deeper understanding of the algebraic and analytical structure of the integers, the rational numbers and the real numbers and how they act as a building block to a variety of fields of mathematics.  Students are introduced to the process of mathematical discovery and the language of mathematics.  Exercises  and projects are designed to illustrate the need for proof and to further refine the student's ability to analyze, conjecture and write mathematical proofs. This course is a prerequisite for most upper level mathematics courses and, after completing it a student will be in a position to determine realistically if he or she ought to major or minor in mathematics.",MATH-331 Introduction to Abstract Math,Suffolk University,www.suffolk.edu,4.0,MATH-331
,"A systematic introduction to the major thinkers and their positions on the main issues of ethics, such as: What is morality? What are moral values? How should we live our lives? Are there objective, universal, absolute moral standards? If so, what are they, and what is their basis? 1 term - credits. Normally offered every year.",PHIL-119 Ethics,Suffolk University,www.suffolk.edu,,PHIL-119
,"An examination of contemporary Western society, particularly in the United States, in relation to philosophical attempts to define the good life. Current books that exhibit a philosophical approach towards important contemporary social issues will be discussed, as well as classics in philosophy. Topics may include: civic virtue, consumerism, current events, economic justice, popular culture (film, music, television), religion and secularism, etc. 1 term - 4 credits.  Normally offered every year.",PHIL-123 Social Ethics: The Good Life,Suffolk University,www.suffolk.edu,,PHIL-123
,"A critical examination of a number of contemporary moral issues such as: abortion, affirmative action, animal rights, capital punishment, cloning, drug legalization, environmental ethics, euthanasia, genetic engineering, gun control, pornography, same-sex marriage, suicide, war and terrorism, etc. 1 term - 4 credits. Normally offered every year. ",PHIL-127 Contemporary Moral Issues,Suffolk University,www.suffolk.edu,,PHIL-127
"NATURAL SCIENCE FOR BA  BFA & BSJ,NATURAL SCIENCE FOR BS,SCI TECH ENGNR","Introduction to the fundamental principles of physics using calculus.  The course includes the study of vectors, Newton's laws, rotations, rigid body statics and dynamics, simple harmonic motion, heat and temperature.",PHYS-151 University Physics I,Suffolk University,www.suffolk.edu,3.0,PHYS-151
Social Science,Surveys core theoretical concepts and contemporary empirical research from the major sub-fields of psychology: physiology; perception; cognition; learning; emotion; motivation; development; personality; psychopathology; psychotherapy; and social behavior. Required for psychology majors. Offered every semester.,PSYCH-114 General Psychology,Suffolk University,www.suffolk.edu,,PSYCH-114
,"An overview of issues and social variables involved in the pre-arrest and arrest stages followed by a more in-depth analysis of pre-trial, trial, sentencing, and correctional phases. Sociological and criminal justice models are examined and compared with the actual processes and purported functions of criminal justice agencies. Required for all majors in the Crime and Justice Concentration.  ",SOC-234 Crime and Justice in American Society,Suffolk University,www.suffolk.edu,,SOC-234
